Date,Open,High,Low,Close,Adj Close,Volume
2022-10-28,43.299999,44.799999,42.700001,43.099998,42.550686,118353597
2022-10-31,43.599998,43.750000,41.750000,42.650002,42.106422,82205500
2022-11-01,43.200001,43.599998,39.900002,40.099998,39.588921,146126391
2022-11-02,39.950001,40.000000,39.000000,39.250000,38.749756,64972626
2022-11-03,39.000000,41.599998,38.900002,41.299999,40.773628,104226875
2022-11-04,41.750000,42.150002,41.349998,41.799999,41.267254,61162545
2022-11-07,42.900002,43.549999,41.650002,41.849998,41.316616,109584009
2022-11-09,42.599998,46.000000,42.099998,44.950001,44.377110,299263769
2022-11-10,45.000000,45.150002,43.549999,44.049999,43.488579,97489239
2022-11-11,45.049999,45.200001,44.099998,44.750000,44.179657,76514774
2022-11-14,44.900002,44.950001,43.700001,43.950001,43.389854,39354002
2022-11-15,44.200001,44.299999,43.599998,43.950001,43.389854,38499635
2022-11-16,43.950001,44.950001,43.849998,44.150002,43.587307,60764292
2022-11-17,44.150002,44.750000,43.349998,44.299999,43.735394,71836182
2022-11-18,44.349998,46.700001,44.150002,45.849998,45.265636,172405604
2022-11-21,45.799999,47.799999,45.549999,47.599998,46.993332,172492290
2022-11-22,47.849998,48.400002,47.000000,48.200001,47.585690,123475904
2022-11-23,48.549999,50.900002,48.299999,50.349998,49.708282,252150630
2022-11-24,50.549999,51.200001,50.299999,50.849998,50.201912,104180912
2022-11-25,51.500000,55.650002,51.250000,53.599998,52.916862,374685764
2022-11-28,54.349998,54.349998,52.700001,53.400002,52.719414,124868210
2022-11-29,53.450001,54.099998,52.150002,52.500000,51.830883,110088137
2022-11-30,52.500000,52.900002,50.900002,51.299999,50.646175,72720109
2022-12-01,51.750000,53.599998,51.299999,53.250000,52.571323,106625627
2022-12-02,53.299999,54.250000,52.750000,54.000000,53.311764,96833859
2022-12-05,54.299999,55.349998,53.799999,55.150002,54.447109,99638073
2022-12-06,55.150002,57.349998,54.599998,55.450001,54.743286,225788957
2022-12-07,55.799999,56.349998,54.049999,55.450001,54.743286,111738442
2022-12-08,55.700001,57.950001,55.450001,57.700001,56.964611,150791474
2022-12-09,58.500000,59.400002,55.000000,56.250000,55.533089,242993671
2022-12-12,56.750000,58.549999,56.250000,58.099998,57.359509,128901863
2022-12-13,58.799999,60.099998,58.400002,59.900002,59.136570,148851940
2022-12-14,60.450001,60.650002,58.200001,59.250000,58.494854,175015067
2022-12-15,59.250000,62.000000,58.900002,59.299999,58.544216,229821550
2022-12-16,59.299999,60.000000,56.450001,56.750000,56.026718,150603662
2022-12-19,57.049999,57.299999,55.599998,56.049999,55.335636,85831831
2022-12-20,55.950001,56.250000,54.299999,55.549999,54.842010,88046715
2022-12-21,56.000000,57.099998,52.549999,53.150002,52.472599,154435087
2022-12-22,53.900002,55.200001,52.599998,53.750000,53.064953,193777944
2022-12-23,53.299999,53.450001,49.299999,49.700001,49.066570,174132546
2022-12-26,49.700001,53.950001,49.150002,53.500000,52.818138,169993660
2022-12-27,54.599998,55.549999,53.299999,54.200001,53.509216,124352547
2022-12-28,54.150002,55.849998,53.400002,54.900002,54.200298,125697410
2022-12-29,54.450001,55.900002,53.450001,55.400002,54.693924,130252482
2022-12-30,56.000000,57.299999,55.799999,56.450001,55.730541,115251538
2023-01-02,56.799999,57.599998,56.349998,57.150002,56.421619,72924744
2023-01-03,57.450001,58.299999,57.150002,57.799999,57.063332,78566820
2023-01-04,58.099998,58.349998,55.700001,56.250000,55.533089,96809213
2023-01-05,56.700001,57.150002,55.450001,56.750000,56.026718,82173647
2023-01-06,57.000000,57.599998,56.000000,56.400002,55.681179,88223106
2023-01-09,57.000000,57.750000,56.750000,57.099998,56.372253,56732510
2023-01-10,56.900002,56.950001,54.650002,55.099998,54.397743,82014187
2023-01-11,55.299999,56.599998,54.599998,56.400002,55.681179,75395366
